alpha_color,beta_texture,gamma_edges
0.45,0.35,0.2
0.419512939453125,0.32637329101562496,0.199755859375
0.41307311654090884,0.32184661030769346,0.19971923828125002
0.4062967836856842,0.3168996304273605,0.1999285936355591
0.4091997653245926,0.3116549342870712,0.19988332986831667
0.41199274957180027,0.3107724457979202,0.1998159170150757
0.4077531695365906,0.3148266941308975,0.199190354347229
0.41267534494400027,0.3126402914524078,0.19910876750946047
0.41177605390548705,0.3169614851474762,0.19978809356689453
0.41498810648918155,0.3178212761878967,0.19927357435226442
0.418562176823616,0.31601597368717194,0.19933431148529054
0.4069508135318756,0.31445475220680236,0.1990990400314331
0.4157572567462921,0.3237990081310272,0.19902201890945437
0.41569883823394777,0.3197155117988586,0.1989244341850281
0.40566968321800234,0.31838737726211547,0.19861199855804446
0.41047362685203553,0.3221074640750885,0.19733861684799195
0.4179819613695145,0.3242683321237564,0.19791113138198854
0.403004264831543,0.3192906856536865,0.198235297203064
0.4170443952083588,0.3196780443191528,0.1983235239982605
0.4112468004226685,0.3222385168075561,0.19830968379974367
0.41077017188072207,0.3255694925785064,0.19836978912353517
0.40695156455039977,0.3218012988567352,0.19886633157730105
0.26803649961948395,0.2657907962799072,0.19316129684448244
0.2709796607494354,0.2780847609043121,0.19679912328720095
0.27785539627075195,0.28355816304683684,0.19671502113342287
0.28772066831588744,0.2845958203077316,0.19670836925506593
0.29695800840854647,0.28778881728649136,0.19709267616271975
0.30841645896434783,0.2883531451225281,0.19677417278289797
0.40083537697792054,0.3292779177427292,0.19964653253555298
0.3991557240486145,0.3300878703594208,0.1995665431022644
0.39554895758628844,0.3281087070703506,0.19914876222610475
0.39173297882080077,0.33435626327991486,0.19992375373840332
0.40567105114459995,0.335058319568634,0.19924232959747315
0.40341914892196656,0.3326591908931732,0.1982059955596924
0.40060057640075686,0.32507108747959135,0.1991013526916504
