frame,x,y,w,h,theta
0,500.0,27.0,56.0,109.0,0.0
1,499.0,32.0,58.0,104.0,-9.430934337403365
2,500.0,41.0,56.0,97.0,6.832676468066859
3,504.0,45.0,62.0,93.0,1.0968548526937891
4,498.0,41.0,58.0,102.0,14.854630337896
5,488.0,36.0,65.0,99.0,8.30044184071721
6,495.0,39.0,62.0,97.0,-1.0034415093509557
7,497.0,39.0,63.0,96.0,2.86861038125102
8,497.0,36.0,60.0,99.0,-5.709822443563672
9,498.0,34.0,63.0,103.0,2.3273358163132123
10,492.0,32.0,65.0,99.0,-7.623044416847675
11,498.0,33.0,63.0,102.0,3.987324215113347
12,496.0,37.0,65.0,96.0,-5.886322914247737
13,495.0,34.0,71.0,101.0,12.259956895185852
14,496.0,36.0,69.0,103.0,3.580746718217887
15,495.0,38.0,74.0,104.0,7.792753589007802
16,487.0,37.0,68.0,107.0,6.2666316651662815
17,495.0,34.0,65.0,103.0,1.60724737966853
18,491.0,35.0,65.0,106.0,3.2716549277410847
19,493.0,40.0,65.0,107.0,0.6491839983882566
20,490.0,40.0,65.0,103.0,-6.742214665907693
21,498.0,44.0,59.0,99.0,1.3442658673365362
22,498.0,42.0,63.0,99.0,-11.007749432888694
23,487.0,36.0,65.0,105.0,-12.945312724247074
24,491.0,42.0,65.0,95.0,-0.23918910654773262
25,493.0,41.0,65.0,96.0,1.4664612983829763
26,493.0,41.0,68.0,98.0,-4.022106178083168
27,495.0,42.0,67.0,99.0,1.2066079585606992
28,493.0,42.0,68.0,100.0,-3.5330646356925035
29,499.0,45.0,63.0,104.0,8.75551366526281
30,500.0,35.0,66.0,109.0,5.9033567506627955
31,497.0,38.0,61.0,100.0,0.9587043731745359
32,503.0,42.0,61.0,103.0,-1.282618204930746
33,501.0,40.0,61.0,103.0,1.6564131956471115
34,497.0,36.0,67.0,109.0,1.5717248618270916
35,497.0,36.0,73.0,110.0,-13.123528766469944
36,493.0,38.0,71.0,105.0,-0.8175922617591873
37,490.0,38.0,77.0,108.0,0.41952602197054356
38,490.0,35.0,77.0,112.0,-4.25389873637977
39,492.0,31.0,77.0,118.0,-4.598369754346999
40,494.0,31.0,74.0,117.0,-1.0106236312148025
41,495.0,29.0,74.0,119.0,1.062394604358479
42,490.0,33.0,78.0,108.0,-8.489396676735392
43,488.0,34.0,79.0,113.0,-8.981450069266263
44,490.0,29.0,74.0,109.0,3.8667257413699545
45,487.0,26.0,73.0,110.0,-3.613650575659693
46,494.0,33.0,63.0,105.0,9.168234898247274
47,489.0,35.0,68.0,98.0,3.4650796307880336
48,495.0,38.0,65.0,101.0,0.27676453165057424
49,496.0,38.0,67.0,102.0,-3.786702722219215
50,489.0,27.0,66.0,111.0,12.630544030261747
51,490.0,29.0,66.0,106.0,0.334837233527291
52,499.0,39.0,65.0,104.0,-4.071251305306792
53,494.0,37.0,70.0,101.0,10.743826487834523
54,498.0,38.0,74.0,105.0,3.9716063813074216
55,499.0,33.0,76.0,109.0,-1.869039734032745
56,496.0,33.0,77.0,111.0,8.342376315168886
57,504.0,47.0,72.0,100.0,-6.445210772188405
58,504.0,46.0,72.0,103.0,5.936659877824992
59,497.0,40.0,72.0,101.0,3.1604755977301995
